id;ner_documento
14;[[0, [['Coréia do Norte', 'LOC', 46, 61]]]]
15;[[0, [['Coréia do Norte', 'LOC', 115, 130], ['pró-Pyongyang', 'MISC', 167, 180]]], [1, []], [2, [['Chosun Shinbo', 'PER', 46, 59]]], [3, [['FAO', 'ORG', 18, 21], ['ONU', 'ORG', 34, 37], ['Coréia do Norte', 'LOC', 133, 148]]], [4, [['Chosun Shinbo', 'ORG', 63, 76]]], [5, []], [6, []], [7, [['Coréia do Sul', 'LOC', 3, 16], ['Grande Partido Nacional', 'ORG', 38, 61], ['Kang Jae-sup', 'PER', 63, 75], ['Yonhap', 'ORG', 242, 248]]], [8, []], [9, []], [10, [['Arirang', 'PER', 91, 98]]], [11, [['Coréia do Norte', 'LOC', 2, 17], ['Pyongyang', 'LOC', 163, 172], ['Coréia do Sul', 'LOC', 192, 205]]], [12, [['Coréia do Sul', 'LOC', 2, 15], ['Pyongyang', 'LOC', 209, 218]]]]
16;[[0, [['Coréia do Norte', 'LOC', 13, 28]]]]
17;[[0, []], [1, []], [2, [['ACF', 'MISC', 15, 18]]], [3, [['Sri Lanka', 'LOC', 34, 43]]], [4, [['Muttur', 'LOC', 35, 41], ['Exército', 'ORG', 120, 128], ['Sri Lanka', 'LOC', 132, 141], ['Tigres de Libertação da Pátria Tâmil', 'ORG', 160, 196], ['LTTE', 'ORG', 198, 202]]], [5, [['ACF', 'MISC', 78, 81]]], [6, [['ACF', 'MISC', 13, 16], ['Sri Lanka', 'LOC', 20, 29], ['Benoit Miribel', 'PER', 31, 45]]], [7, []], [8, [['Muttur', 'MISC', 29, 35]]], [9, [['Sri Lanka', 'LOC', 33, 42], ['Muttur', 'LOC', 113, 119]]], [10, []], [11, [['LTTE', 'ORG', 14, 18]]], [12, [['Exército', 'ORG', 58, 66]]], [13, [['Noruega', 'LOC', 22, 29], ['Sri Lanka', 'LOC', 44, 53], ['Jon Hanssen-Bauer', 'PER', 55, 72]]]]
18;[[0, [['Sri Lanka', 'LOC', 49, 58]]]]
19;[[0, []], [1, []], [2, [['ACF', 'MISC', 15, 18]]], [3, [['Sri Lanka', 'LOC', 34, 43]]], [4, [['Muttur', 'LOC', 35, 41], ['Exército', 'ORG', 120, 128], ['Sri Lanka', 'LOC', 132, 141], ['Tigres de Libertação da Pátria Tâmil', 'ORG', 160, 196], ['LTTE', 'ORG', 198, 202]]], [5, [['ACF', 'MISC', 78, 81]]], [6, [['ACF', 'MISC', 13, 16], ['Sri Lanka', 'LOC', 20, 29], ['Benoit Miribel', 'PER', 31, 45]]], [7, []], [8, [['Muttur', 'MISC', 29, 35]]], [9, [['Sri Lanka', 'LOC', 33, 42], ['Muttur', 'LOC', 113, 119]]], [10, [['Governo', 'LOC', 71, 78]]], [11, [['LTTE', 'ORG', 14, 18], ['Governo', 'LOC', 82, 89]]], [12, [['Exército', 'ORG', 58, 66]]], [13, [['Noruega', 'LOC', 22, 29], ['Sri Lanka', 'LOC', 44, 53], ['Jon Hansse-Bauer', 'PER', 55, 71]]]]
20;[[0, [['Sri Lanka', 'LOC', 39, 48]]]]
21;[[0, [['Sri Lanka', 'LOC', 70, 79], ['Muttur', 'LOC', 118, 124]]], [1, [['Action Contre la Faim', 'MISC', 34, 55]]], [2, [['Confrontos', 'MISC', 0, 10], ['Exército', 'ORG', 19, 27], ['Tigres Tâmeis', 'ORG', 46, 59], ['Muttur', 'LOC', 83, 89]]], [3, [['Exército', 'ORG', 14, 22]]], [4, [['Tigres Tâmeis', 'ORG', 56, 69]]], [5, []], [6, [['Action Contre la Faim', 'MISC', 19, 40], ['Benoit Miribel', 'PER', 42, 56]]], [7, []], [8, [['Miribel', 'PER', 139, 146]]], [9, []], [10, [['pró-Tigres', 'PER', 23, 33]]], [11, [['Tâmeis', 'ORG', 0, 6], ['Exército', 'ORG', 53, 61]]], [12, [['S. P. Thamilselvan', 'PER', 34, 52]]], [13, [['Exército', 'ORG', 6, 14], ['Sri Lanka', 'LOC', 18, 27], ['Tigres Tâmeis', 'ORG', 41, 54]]], [14, [['Exército', 'ORG', 113, 121], ['Abdullah Jayawardene', 'PER', 122, 142], ['BBC', 'ORG', 145, 148]]], [15, [['Muttur', 'MISC', 17, 23]]], [16, []], [17, []]]
22;[[0, [['Sri Lanka', 'LOC', 18, 27]]]]
23;[[0, [['Saúde', 'LOC', 14, 19], ['Hatem El-Gabaly', 'PER', 29, 44], ['delta do Nilo', 'LOC', 166, 179], ['Cairo', 'LOC', 193, 198]]], [1, [['Egito', 'LOC', 140, 145], ['El-Gabaly', 'PER', 164, 173], ['Mena', 'PER', 215, 219]]], [2, []], [3, [['Brasília', 'LOC', 36, 44], ['Lardo', 'LOC', 93, 98], ['estação Qalyoub', 'MISC', 123, 138], ['Egito', 'LOC', 178, 183]]], [4, [['Qaliubiya', 'LOC', 59, 68], ['Shebin al-Qanater', 'PER', 74, 91]]], [5, [['Exército', 'ORG', 12, 20], ['Defesa Civil', 'ORG', 33, 45]]], [6, [['Governador de Qaluibiya', 'LOC', 2, 25], ['Adli Hussein', 'PER', 27, 39], ['Qaliub', 'LOC', 276, 282]]], [7, [['Lardo', 'LOC', 165, 170]]], [8, [['Egito', 'LOC', 44, 49], ['Cairo', 'LOC', 134, 139], ['Luxor', 'LOC', 142, 147]]]]
24;[[0, [['Egito', 'LOC', 49, 54]]]]
25;[[0, []], [1, [['delta do', 'LOC', 22, 30], ['Cairo', 'LOC', 49, 54], ['Egito', 'LOC', 59, 64]]], [2, [['Saúde', 'LOC', 26, 31], ['Hatem El-Gabaly', 'PER', 33, 48]]], [3, [['Nile News', 'PER', 25, 34]]], [4, []], [5, []], [6, [['Qaluibiya', 'LOC', 16, 25], ['Adli Hussein', 'PER', 27, 39], ['Qaliub', 'PER', 273, 279]]], [7, [['Delta do Nilo', 'LOC', 44, 57], ['Beheira', 'LOC', 154, 161], ['Cairo', 'LOC', 191, 196]]], [8, [['Al Sharquiya', 'PER', 93, 105]]], [9, [['Egito', 'LOC', 44, 49], ['Cairo', 'LOC', 134, 139], ['Luxor', 'LOC', 142, 147]]]]
26;[[0, [['Egito', 'LOC', 53, 58]]]]
27;[[0, [['delta do Nilo', 'LOC', 128, 141], ['Cairo', 'LOC', 155, 160]]], [1, [['Nile News', 'MISC', 26, 35]]], [2, [['Saúde', 'LOC', 26, 31], ['Hatem El-Gabaly', 'PER', 33, 48]]], [3, []], [4, [['Qaluibiya', 'LOC', 16, 25], ['Adli Hussein', 'PER', 27, 39], ['Qaliub', 'PER', 273, 279]]], [5, [['Egito', 'LOC', 44, 49], ['Cairo', 'LOC', 134, 139], ['Luxor', 'LOC', 142, 147]]]]
28;[[0, [['Moscou', 'LOC', 134, 140]]], [1, [['Brasília', 'LOC', 113, 121], ['Evrazia', 'LOC', 143, 150], ['Cherkizov', 'MISC', 162, 171], ['Rússia', 'LOC', 212, 218]]], [2, []], [3, []], [4, [['Moscou', 'LOC', 18, 24]]], [5, [['Interfax', 'MISC', 64, 72], ['Cherkizov', 'MISC', 118, 127]]]]
29;[[0, [['Moscou', 'LOC', 38, 44]]]]
30;[[0, [['Cherkizov', 'MISC', 103, 112], ['Moscou', 'LOC', 116, 122]]], [1, []], [2, [['Moscou', 'LOC', 28, 34], ['Nordeste', 'LOC', 85, 93]]], [3, [['Interfax', 'MISC', 94, 102], ['Moscou', 'LOC', 126, 132], ['Vladimir Resin', 'PER', 134, 148]]], [4, [['Polícia', 'LOC', 17, 24]]], [5, [['Brasília', 'LOC', 54, 62]]], [6, [['Resin', 'PER', 51, 56], ['Itar-Tass', 'LOC', 93, 102]]], [7, [['Promotoria de Moscou', 'LOC', 2, 22]]], [8, [['Promotoria de Moscou', 'LOC', 134, 154]]], [9, [['Evrazia', 'LOC', 77, 84], ['Cherkizov', 'MISC', 97, 106]]], [10, [['Testemunhas', 'ORG', 2, 13]]], [11, [['Itar-Tass', 'ORG', 77, 86]]], [12, [['Moscou', 'LOC', 14, 20], ['Yuri Siomin', 'PER', 22, 33]]]]
31;[[0, [['Polícia russa', 'LOC', 49, 62]]]]
32;[[0, [['Polícia de Moscou', 'LOC', 155, 172]]], [1, [['Brasília', 'LOC', 78, 86], ['Cherkizov', 'MISC', 99, 108]]], [2, []], [3, [['Evrazia', 'LOC', 118, 125], ['Cherkizov', 'MISC', 138, 147]]], [4, [['Polícia', 'LOC', 115, 122]]], [5, [['Moscou', 'LOC', 18, 24]]], [6, [['Interfax', 'MISC', 65, 73], ['Cherkizov', 'MISC', 120, 129]]]]
34;[[0, []]]
36;[[0, []], [1, [['Desistência do mandato', 'MISC', 19, 41]]]]
37;[[0, []], [1, [['Câmara', 'LOC', 37, 43]]], [2, [['Conselho de Ética', 'ORG', 40, 57], ['Ricardo Izar', 'PER', 59, 71], ['PTB-SP', 'PER', 73, 79]]], [3, [['cúpula da Câmara', 'LOC', 13, 29]]], [4, [['Nilton Capixaba', 'PER', 0, 15], ['PTB-RO', 'LOC', 17, 23], ['Marcelino Fraga', 'PER', 26, 41], ['PMDB-ES', 'ORG', 43, 50], ['César Bandeira', 'PER', 53, 67], ['PFL-MA', 'ORG', 69, 75], ['Benedito Dias', 'LOC', 78, 91], ['PP-AP', 'MISC', 93, 98], ['Carlos Nader', 'PER', 102, 114], ['PL-RJ', 'PER', 116, 121]]], [5, [['Coriolano Sales', 'PER', 12, 27], ['PFL', 'PER', 29, 32]]]]
38;[[0, []]]
40;[[0, [['Alckmin', 'PER', 0, 7], ['liga Lula', 'PER', 35, 44], ['Criticado', 'MISC', 71, 80]]]]
